,Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total,RootPosition
1086,"16,17,18,19,20 December 2016 ",2016/17,2241,"MA Chidambaram Stadium, Chepauk, Chennai",3,JE Root,6,22.0,47,0,103,39.4,144,MM Ali,44.0,97.0,113,0.0,110.0,43.4,161,207.0,3
1162,"6,7,8,9 July 2017 ",2017,2262,"Lord's, London",1,GS Ballance,20,41.0,55,0,14,3.1,16,JE Root (c),190.0,234.0,375,0.0,17.0,5.2,71,458.0,4
1164,"6,7,8,9 July 2017 ",2017,2262,"Lord's, London",3,GS Ballance,34,78.0,119,0,80,34.5,123,JE Root (c),5.0,13.0,20,0.0,139.0,60.2,232,233.0,4
1171,"14,15,16,17 July 2017 ",2017,2264,"Trent Bridge, Nottingham",2,GS Ballance,27,37.0,68,0,3,3.6,19,JE Root (c),78.0,76.0,117,0.0,3.0,4.1,87,205.0,4
1173,"14,15,16,17 July 2017 ",2017,2264,"Trent Bridge, Nottingham",4,GS Ballance,4,15.0,31,0,4,5.5,26,JE Root (c),8.0,20.0,34,0.0,28.0,11.5,121,133.0,4
1178,"27,28,29,30,31 July 2017 ",2017,2266,"Kennington Oval, London",1,T Westley,25,50.0,90,0,12,3.3,17,JE Root (c),29.0,56.0,71,0.0,64.0,22.5,300,353.0,4
1180,"27,28,29,30,31 July 2017 ",2017,2266,"Kennington Oval, London",3,T Westley,59,141.0,201,0,30,8.2,38,JE Root (c),50.0,94.0,131,0.0,92.0,25.6,239,313.0,4
1185,"4,5,6,7,August 2017 ",2017,2268,"Old Trafford, Manchester",1,T Westley,29,88.0,111,0,35,12.1,50,JE Root (c),52.0,101.0,135,0.0,92.0,36.3,150,362.0,4
1187,"4,5,6,7,August 2017 ",2017,2268,"Old Trafford, Manchester",3,T Westley,9,18.0,22,0,16,6.1,26,JE Root (c),49.0,106.0,140,0.0,30.0,10.6,106,243.0,4
1192,"17,18,19, August 2017 - day/night match ",2017,2270,"Edgbaston, Birmingham",1,T Westley,8,18.0,25,0,14,2.1,14,JE Root (c),136.0,189.0,287,0.0,39.0,7.3,588,514.0,4
1195,"25,26,27,28,29 August 2017 ",2017,2271,"Headingley, Leeds",1,T Westley,3,11.0,18,0,19,7.2,33,JE Root (c),59.0,98.0,156,0.0,26.0,10.4,72,258.0,4
1197,"25,26,27,28,29 August 2017 ",2017,2271,"Headingley, Leeds",3,T Westley,8,25.0,40,0,58,21.5,90,JE Root (c),72.0,111.0,187,0.0,81.0,29.6,170,490.0,4
1208,"7,8,9 September 2017 ",2017,2274,"Lord's, London",2,T Westley,8,30.0,49,0,1,2.4,12,JE Root (c),1.0,2.0,13,0.0,15.0,11.6,57,194.0,4
1237,"23,24,25,26,27 November 2017 ",2017/18,2282,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,JM Vince,83,170.0,239,0,2,2.4,13,JE Root (c),15.0,50.0,79,0.0,127.0,54.2,252,302.0,4
1239,"23,24,25,26,27 November 2017 ",2017/18,2282,"Brisbane Cricket Ground, Woolloongabba, Brisbane",3,JM Vince,2,6.0,11,0,11,3.3,16,JE Root (c),51.0,104.0,159,0.0,17.0,5.3,124,195.0,4
