,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
60,"18,19,20,21,22 June 2010 ",2010,1961,"Warner Park, Basseterre, St Kitts",3,HM Amla,41,84.0,,0,74,27.6,235
61,"26,27,28,29 June 2010 ",2010,1962,"Kensington Oval, Bridgetown, Barbados",1,N Deonarine,46,106.0,,0,12,3.5,231
62,"26,27,28,29 June 2010 ",2010,1962,"Kensington Oval, Bridgetown, Barbados",2,HM Amla,5,24.0,,0,17,2.1,346
63,"26,27,28,29 June 2010 ",2010,1962,"Kensington Oval, Bridgetown, Barbados",3,N Deonarine,0,1.0,,0,27,4.4,161
64,"26,27,28,29 June 2010 ",2010,1962,"Kensington Oval, Bridgetown, Barbados",4,HM Amla,25,20.0,,0,14,2.1,49
65,"13,14,15,16 July 2010 ",2010,1963,"Lord's, London",1,RT Ponting (c),26,39.0,66,0,8,4.4,253
66,"13,14,15,16 July 2010 ",2010,1963,"Lord's, London",2,Azhar Ali,16,43.0,45,0,11,6.1,148
67,"13,14,15,16 July 2010 ",2010,1963,"Lord's, London",3,RT Ponting (c),0,6.0,9,0,61,16.3,334
68,"13,14,15,16 July 2010 ",2010,1963,"Lord's, London",4,Azhar Ali,42,87.0,121,0,50,15.1,289
69,"18,19,20,21,22 July 2010 ",2010,1964,Galle International Stadium,1,KC Sangakkara (c),103,145.0,198,0,55,10.1,520
70,"18,19,20,21,22 July 2010 ",2010,1964,Galle International Stadium,2,R Dravid,18,33.0,64,0,2,0.2,276
71,"18,19,20,21,22 July 2010 ",2010,1964,Galle International Stadium,3,R Dravid,44,152.0,209,0,0,0.3,338
72,"21,22,23,24 July 2010 ",2010,1965,"Headingley, Leeds",1,RT Ponting (c),6,21.0,40,0,20,6.1,88
73,"21,22,23,24 July 2010 ",2010,1965,"Headingley, Leeds",2,Azhar Ali,30,66.0,77,0,80,19.4,258
74,"21,22,23,24 July 2010 ",2010,1965,"Headingley, Leeds",3,RT Ponting (c),66,116.0,173,0,15,4.3,349
