Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"8,9,10,11,12 July 2012 ",2012,2048,Pallekele International Cricket Stadium,2,KC Sangakkara,0,3.0,3,0,14,7.3,33,DPMD Jayawardene (c),12,24.0,30,0.0,14.0,7.6,318,337
"8,9,10,11,12 July 2012 ",2012,2048,Pallekele International Cricket Stadium,3,Azhar Ali,136,284.0,371,0,16,2.2,11,Younis Khan,19,50.0,74,0.0,110.0,35.3,382,380
"8,9,10,11,12 July 2012 ",2012,2048,Pallekele International Cricket Stadium,4,KC Sangakkara,74,125.0,211,1,44,10.2,45,DPMD Jayawardene (c),11,44.0,40,0.0,132.0,37.2,256,195
"19,20,21,22,23 July 2012 ",2012,2049,"Kennington Oval, London",1,IJL Trott,71,162.0,243,0,0,0.4,2,KP Pietersen,42,72.0,97,0.0,170.0,57.2,392,385
"19,20,21,22,23 July 2012 ",2012,2049,"Kennington Oval, London",2,HM Amla,311,529.0,790,1,1,2.4,11,JH Kallis,182,326.0,434,1.0,260.0,87.1,801,637
"19,20,21,22,23 July 2012 ",2012,2049,"Kennington Oval, London",3,IJL Trott,10,27.0,41,0,2,1.2,6,KP Pietersen,16,17.0,36,0.0,32.0,10.2,126,240
"25,26,27,28,29 July 2012 ",2012,2050,"Sir Vivian Richards Stadium, North Sound, Antigua",1,BB McCullum,25,43.0,50,0,97,38.3,156,LRPL Taylor (c),45,96.0,136,0.0,133.0,49.6,353,351
"25,26,27,28,29 July 2012 ",2012,2050,"Sir Vivian Richards Stadium, North Sound, Antigua",2,AB Fudadin,55,165.0,228,0,254,75.2,305,MN Samuels,28,48.0,56,0.0,304.0,88.4,361,522
"25,26,27,28,29 July 2012 ",2012,2050,"Sir Vivian Richards Stadium, North Sound, Antigua",3,BB McCullum,84,139.0,187,0,47,10.4,45,LRPL Taylor (c),21,78.0,99,0.0,170.0,48.6,197,272
"25,26,27,28,29 July 2012 ",2012,2050,"Sir Vivian Richards Stadium, North Sound, Antigua",4,AB Fudadin,7,21.0,24,1,77,13.4,62,,,,,,,,,
"2,3,4,5,6 August 2012 ",2012,2051,"Headingley, Leeds",1,HM Amla,9,14.0,17,0,120,37.2,170,JH Kallis,19,30.0,38,0.0,132.0,40.1,533,419
"2,3,4,5,6 August 2012 ",2012,2051,"Headingley, Leeds",2,IJL Trott,35,77.0,121,0,65,25.3,113,KP Pietersen,149,214.0,321,0.0,85.0,34.4,154,425
"2,3,4,5,6 August 2012 ",2012,2051,"Headingley, Leeds",3,HM Amla,28,41.0,58,0,120,37.2,168,AB de Villiers †,44,45.0,59,0.0,129.0,41.5,188,258
"2,3,4,5,6 August 2012 ",2012,2051,"Headingley, Leeds",4,AJ Strauss (c),22,33.0,45,0,21,3.1,14,IJL Trott,30,57.0,92,1.0,75.0,13.6,79,130
"2,3,4,5 August 2012 ",2012,2052,"Sabina Park, Kingston, Jamaica",1,BB McCullum,0,4.0,6,0,10,4.5,20,LRPL Taylor (c),60,100.0,131,0.0,11.0,5.3,250,260
"2,3,4,5 August 2012 ",2012,2052,"Sabina Park, Kingston, Jamaica",2,AB Fudadin,5,10.0,12,0,11,8.3,32,MN Samuels,123,169.0,264,0.0,17.0,10.4,106,209
"2,3,4,5 August 2012 ",2012,2052,"Sabina Park, Kingston, Jamaica",3,N Wagner,6,45.0,51,0,55,18.2,77,BB McCullum,19,54.0,82,0.0,56.0,20.1,84,154
"2,3,4,5 August 2012 ",2012,2052,"Sabina Park, Kingston, Jamaica",4,AB Fudadin,27,74.0,121,0,20,2.2,11,MN Samuels,52,103.0,157,0.0,20.0,3.1,132,206
"16,17,18,19,20 August 2012 ",2012,2053,"Lord's, London",1,HM Amla,13,30.0,53,0,22,8.3,37,JH Kallis,3,9.0,14,0.0,49.0,18.3,88,309
"16,17,18,19,20 August 2012 ",2012,2053,"Lord's, London",2,IJL Trott,8,10.0,14,0,29,10.4,45,IR Bell,58,157.0,210,0.0,38.0,13.5,63,315
"16,17,18,19,20 August 2012 ",2012,2053,"Lord's, London",3,HM Amla,121,205.0,287,0,46,21.5,89,JH Kallis,31,58.0,91,0.0,50.0,24.3,376,351
"16,17,18,19,20 August 2012 ",2012,2053,"Lord's, London",4,IJL Trott,63,159.0,213,0,5,1.2,9,IR Bell,4,37.0,64,0.0,6.0,3.5,222,294
"23,24,25,26 August 2012 ",2012,2054,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,CA Pujara,159,306.0,468,0,49,9.6,44,SR Tendulkar,19,62.0,86,0.0,77.0,14.3,512,438
"23,24,25,26 August 2012 ",2012,2054,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,KS Williamson,32,92.0,114,0,25,7.3,31,LRPL Taylor (c),2,14.0,9,0.0,29.0,10.1,145,159
"23,24,25,26 August 2012 ",2012,2054,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,KS Williamson,52,163.0,197,0,26,14.3,55,LRPL Taylor (c),7,9.0,15,0.0,98.0,45.1,252,164
"31 August, 1,2,3 September 2012 ",2012,2055,"M.Chinnaswamy Stadium, Bengaluru",1,KS Williamson,17,44.0,74,0,0,1.5,4,LRPL Taylor (c),113,127.0,177,0.0,63.0,18.1,102,365
"31 August, 1,2,3 September 2012 ",2012,2055,"M.Chinnaswamy Stadium, Bengaluru",2,CA Pujara,9,17.0,30,0,5,3.4,17,SR Tendulkar,17,50.0,61,0.0,27.0,9.6,100,353
"31 August, 1,2,3 September 2012 ",2012,2055,"M.Chinnaswamy Stadium, Bengaluru",3,KS Williamson,13,37.0,57,0,30,5.3,22,LRPL Taylor (c),35,66.0,85,0.0,31.0,7.1,79,248
"31 August, 1,2,3 September 2012 ",2012,2055,"M.Chinnaswamy Stadium, Bengaluru",4,CA Pujara,48,104.0,122,0,77,11.5,57,SR Tendulkar,27,34.0,78,0.0,83.0,16.6,179,262
"9,10,11,12,13 November 2012 ",2012/13,2056,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,HM Amla,104,244.0,350.0,0,29,10.1,47.0,JH Kallis,147,274.0,349.0,0.0,119.0,38.4,397.0,450
"9,10,11,12,13 November 2012 ",2012/13,2056,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,RJ Quiney,9,12.0,14,0,13,4.4,19,RT Ponting,0,5.0,9,0.0,30.0,7.4,388,565
"9,10,11,12,13 November 2012 ",2012/13,2056,"Brisbane Cricket Ground, Woolloongabba, Brisbane",3,HM Amla,38,82.0,149,0,6,1.3,8,JH Kallis,49,91.0,123,0.0,55.0,20.5,157,166
"13,14,15,16,17 November 2012 ",2012/13,2057,"Shere Bangla National Stadium, Mirpur, Dhaka",1,DM Bravo,14,28.0,50,0,32,4.6,20,MN Samuels,16,41.0,46,0.0,74.0,16.1,243,527
"13,14,15,16,17 November 2012 ",2012/13,2057,"Shere Bangla National Stadium, Mirpur, Dhaka",2,Shahriar Nafees,31,27.0,39,0,25,4.5,22,Naeem Islam,108,255.0,353,0.0,88.0,12.4,104,556
"13,14,15,16,17 November 2012 ",2012/13,2057,"Shere Bangla National Stadium, Mirpur, Dhaka",3,DM Bravo,76,121.0,183,0,20,6.4,26,MN Samuels,1,4.0,8,0.0,209.0,51.4,247,273
"13,14,15,16,17 November 2012 ",2012/13,2057,"Shere Bangla National Stadium, Mirpur, Dhaka",4,Shahriar Nafees,23,40.0,61,0,10,4.6,19,Naeem Islam,26,65.0,104,0.0,44.0,14.2,80,167
"15,16,17,18,19 November 2012 ",2012/13,2058,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",1,CA Pujara,206,389.0,513,1,134,29.5,126,SR Tendulkar,13,18.0,25,0.0,224.0,50.1,639,521
"15,16,17,18,19 November 2012 ",2012/13,2058,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2,JM Anderson,2,6.0,6,0,26,13.3,50,IJL Trott,0,4.0,4,0.0,29.0,14.4,148,191
"15,16,17,18,19 November 2012 ",2012/13,2058,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",3,IJL Trott,17,43.0,47,0,123,44.6,173,KP Pietersen,2,6.0,9,0.0,156.0,57.1,556,406
"15,16,17,18,19 November 2012 ",2012/13,2058,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",4,V Kohli,14,21.0,17,1,57,9.5,33,,,,,,,,,
"17,18,19 November 2012 ",2012/13,2059,Galle International Stadium,1,KS Williamson,0,2.0,3,0,29,5.1,21,LRPL Taylor (c),9,8.0,14,0.0,29.0,5.3,167,221
"17,18,19 November 2012 ",2012/13,2059,Galle International Stadium,2,S Randiv,9,22.0,32,0,2,1.3,4,KC Sangakkara,5,11.0,18,0.0,9.0,5.4,36,247
"17,18,19 November 2012 ",2012/13,2059,Galle International Stadium,3,KS Williamson,10,35.0,57,0,18,3.5,17,LRPL Taylor (c),18,32.0,63,0.0,35.0,12.2,74,118
"21,22,23,24,25 November 2012 ",2012/13,2060,"Sheikh Abu Naser Stadium, Khulna",1,Shahriar Nafees,26,49.0,81,0,5,2.1,11,Naeem Islam,16,22.0,31,0.0,64.0,18.4,109,387
"21,22,23,24,25 November 2012 ",2012/13,2060,"Sheikh Abu Naser Stadium, Khulna",2,DM Bravo,127,288.0,411,0,37,9.5,40,MN Samuels,260,455.0,618,0.0,43.0,12.4,451,648
"21,22,23,24,25 November 2012 ",2012/13,2060,"Sheikh Abu Naser Stadium, Khulna",3,Shahriar Nafees,21,30.0,61,0,1,0.3,2,Naeem Islam,2,3.0,3,0.0,49.0,8.1,63,287
"22,23,24,25,26 November 2012 ",2012/13,2061,Adelaide Oval,1,RJ Quiney,0,8.0,9,0,43,10.3,44,RT Ponting,4,3.0,6,0.0,44.0,11.6,176,550
"22,23,24,25,26 November 2012 ",2012/13,2061,Adelaide Oval,2,HM Amla,11,26.0,48,0,138,41.2,159,JA Rudolph,29,64.0,78,0.0,169.0,50.5,295,388
"22,23,24,25,26 November 2012 ",2012/13,2061,Adelaide Oval,3,RJ Quiney,0,2.0,2,0,77,16.1,76,RT Ponting,16,34.0,40,0.0,77.0,16.3,96,267
"22,23,24,25,26 November 2012 ",2012/13,2061,Adelaide Oval,4,HM Amla,17,28.0,38,0,3,0.6,4,JA Rudolph,3,34.0,30,0.0,36.0,11.3,82,248
"23,24,25,26 November 2012 ",2012/13,2062,"Wankhede Stadium, Mumbai",1,CA Pujara,135,350.0,451,0,4,0.2,1,SR Tendulkar,8,12.0,14,0.0,52.0,16.1,452,327
"23,24,25,26 November 2012 ",2012/13,2062,"Wankhede Stadium, Mumbai",2,IJL Trott,0,6.0,8,0,66,31.4,113,KP Pietersen,186,233.0,316,0.0,68.0,33.6,336,413
"23,24,25,26 November 2012 ",2012/13,2062,"Wankhede Stadium, Mumbai",3,CA Pujara,6,5.0,6,0,30,7.5,35,SR Tendulkar,8,19.0,28,0.0,37.0,8.5,183,142
"25,26,27,28,29 November 2012 ",2012/13,2063,"P Sara Oval, Colombo",1,KS Williamson,135,305.0,421,0,4,0.6,3,LRPL Taylor (c),142,306.0,388,0.0,14.0,3.5,424,412
"25,26,27,28,29 November 2012 ",2012/13,2063,"P Sara Oval, Colombo",2,KC Sangakkara,0,2.0,2,0,7,2.4,11,DPMD Jayawardene (c),4,5.0,11,0.0,7.0,2.6,192,244
"25,26,27,28,29 November 2012 ",2012/13,2063,"P Sara Oval, Colombo",3,KS Williamson,18,42.0,53,0,32,7.1,41,LRPL Taylor (c),74,95.0,166,0.0,56.0,14.6,75,194
"25,26,27,28,29 November 2012 ",2012/13,2063,"P Sara Oval, Colombo",4,KC Sangakkara,16,34.0,56,0,0,0.1,1,DPMD Jayawardene (c),5,24.0,35,0.0,35.0,6.6,57,195
"30 November, 1,2,3 December 2012 ",2012/13,2064,"W.A.C.A. Ground, Perth",1,HM Amla,11,43.0,69,0,38,11.3,58,JH Kallis,2,7.0,8,0.0,61.0,22.4,106,225
"30 November, 1,2,3 December 2012 ",2012/13,2064,"W.A.C.A. Ground, Perth",2,SR Watson,10,12.0,21,0,3,0.3,4,NM Lyon,7,26.0,35,0.0,18.0,5.1,58,163
"30 November, 1,2,3 December 2012 ",2012/13,2064,"W.A.C.A. Ground, Perth",3,HM Amla,196,221.0,350,0,28,6.6,30,JH Kallis,37,65.0,91,0.0,206.0,32.3,380,569
"30 November, 1,2,3 December 2012 ",2012/13,2064,"W.A.C.A. Ground, Perth",4,SR Watson,25,46.0,72,0,40,13.2,62,RT Ponting,8,23.0,40,0.0,81.0,28.6,202,322
"5,6,7,8,9 December 2012 ",2012/13,2065,"Eden Gardens, Kolkata",1,CA Pujara,16,48.0,58,0,47,10.1,45,SR Tendulkar,76,155.0,202,0.0,88.0,25.4,169,316
"5,6,7,8,9 December 2012 ",2012/13,2065,"Eden Gardens, Kolkata",2,IJL Trott,87,223.0,243,0,165,52.6,214,KP Pietersen,54,85.0,112,0.0,338.0,119.2,492,523
"5,6,7,8,9 December 2012 ",2012/13,2065,"Eden Gardens, Kolkata",3,CA Pujara,8,22.0,31,0,86,21.1,83,SR Tendulkar,5,6.0,17,0.0,98.0,28.6,125,247
"5,6,7,8,9 December 2012 ",2012/13,2065,"Eden Gardens, Kolkata",4,IJL Trott,3,6.0,8,0,4,0.5,2,KP Pietersen,0,5.0,4,0.0,7.0,3.2,40,41
"13,14,15,16,17 December 2012 ",2012/13,2066,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,IJL Trott,44,133.0,168,0,3,4.2,16,KP Pietersen,73,188.0,202,0.0,16.0,10.3,184,330
"13,14,15,16,17 December 2012 ",2012/13,2066,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,CA Pujara,26,72.0,87,0,1,0.3,2,SR Tendulkar,2,13.0,25,0.0,59.0,22.3,133,326
"13,14,15,16,17 December 2012 ",2012/13,2066,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,IJL Trott,143,310.0,405,0,48,29.5,105,KP Pietersen,6,30.0,27,0.0,81.0,46.4,510,352
"14,15,16,17,18 December 2012 ",2012/13,2067,"Bellerive Oval, Hobart",1,PJ Hughes,86,166.0,220,0,18,5.3,25,SR Watson,30,61.0,102,0.0,97.0,26.2,245,450
"14,15,16,17,18 December 2012 ",2012/13,2067,"Bellerive Oval, Hobart",2,KC Sangakkara,4,16.0,21,0,25,9.3,32,DPMD Jayawardene (c),12,22.0,36,0.0,42.0,14.4,413,336
"14,15,16,17,18 December 2012 ",2012/13,2067,"Bellerive Oval, Hobart",3,PJ Hughes,16,49.0,54,0,132,41.1,172,SR Watson,5,17.0,27,0.0,140.0,44.4,187,278
"14,15,16,17,18 December 2012 ",2012/13,2067,"Bellerive Oval, Hobart",4,KC Sangakkara,63,226.0,276,0,26,9.1,43,DPMD Jayawardene (c),19,77.0,137,0.0,47.0,23.1,319,255
"26,27,28 December 2012 ",2012/13,2068,Melbourne Cricket Ground,1,KC Sangakkara,58,98.0,195,0,13,3.4,17,DPMD Jayawardene (c),3,26.0,32,0.0,19.0,6.3,212,156
"26,27,28 December 2012 ",2012/13,2068,Melbourne Cricket Ground,2,PJ Hughes,10,18.0,25,0,95,17.3,81,SR Watson,83,198.0,265,0.0,117.0,22.6,113,460
"26,27,28 December 2012 ",2012/13,2068,Melbourne Cricket Ground,3,KC Sangakkara,27,43.0,83.0,1,1,0.3,3.0,DPMD Jayawardene (c),0,6.0,8.0,0.0,1.0,0.4,86.0,103
"2,3,4 January 2013 ",2012/13,2069,"Newlands, Cape Town",1,KS Williamson,13,19.0,28,0,7,1.6,8,DG Brownlie,0,3.0,3,0.0,14.0,5.3,36,45
"2,3,4 January 2013 ",2012/13,2069,"Newlands, Cape Town",2,HM Amla,66,74.0,110,0,1,1.1,6,JH Kallis,60,89.0,110,0.0,108.0,25.2,282,347
"2,3,4 January 2013 ",2012/13,2069,"Newlands, Cape Town",3,KS Williamson,15,46.0,78,0,0,0.6,3,DG Brownlie,109,186.0,272,0.0,29.0,17.4,146,275
"3,4,5,6 January 2013 ",2012/13,2070,Sydney Cricket Ground,1,DPMD Jayawardene (c),72,110.0,154,0,26,7.5,33,HDRL Thirimanne,91,151.0,219,0.0,72.0,21.4,187,294
"3,4,5,6 January 2013 ",2012/13,2070,Sydney Cricket Ground,2,PJ Hughes,87,143.0,169,0,36,5.1,27,MJ Clarke (c),50,75.0,136,0.0,166.0,34.5,196,432
"3,4,5,6 January 2013 ",2012/13,2070,Sydney Cricket Ground,3,DPMD Jayawardene (c),60,128.0,200,0,24,6.6,32,HDRL Thirimanne,7,23.0,36,0.0,132.0,33.1,232,278
"3,4,5,6 January 2013 ",2012/13,2070,Sydney Cricket Ground,4,PJ Hughes,34,49.0,52,0,0,1.1,4,MJ Clarke (c),29,52.0,63,0.0,45.0,14.6,128,141
"11,12,13,14 January 2013 ",2012/13,2071,"St George's Park, Port Elizabeth",1,HM Amla,110,235.0,378,0,29,9.6,43,JH Kallis,8,11.0,20,0.0,121.0,30.4,421,525
"11,12,13,14 January 2013 ",2012/13,2071,"St George's Park, Port Elizabeth",2,KS Williamson,4,5.0,8,0,2,2.6,12,DG Brownlie,10,22.0,41,0.0,8.0,4.4,97,121
"11,12,13,14 January 2013 ",2012/13,2071,"St George's Park, Port Elizabeth",3,KS Williamson,11,32.0,42,0,40,20.2,88,DG Brownlie,53,141.0,174,0.0,64.0,30.4,155,211
"1,2,3,4 February 2013 ",2012/13,2072,"The Wanderers Stadium, Johannesburg",1,HM Amla,37,67.0,112,0,46,18.3,91,JH Kallis,50,78.0,82,0.0,46.0,19.1,203,253
"1,2,3,4 February 2013 ",2012/13,2072,"The Wanderers Stadium, Johannesburg",2,Azhar Ali,13,46.0,81,0,9,3.5,14,Younis Khan,0,5.0,5,0.0,12.0,5.1,95,49
"1,2,3,4 February 2013 ",2012/13,2072,"The Wanderers Stadium, Johannesburg",3,HM Amla,74,114.0,184,1,82,21.2,98,JH Kallis,7,13.0,15,0.0,87.0,23.2,282,275
"1,2,3,4 February 2013 ",2012/13,2072,"The Wanderers Stadium, Johannesburg",4,Azhar Ali,18,68.0,97,0,7,3.6,16,Younis Khan,15,28.0,45,0.0,64.0,21.5,113,268
"14,15,16,17 February 2013 ",2012/13,2073,"Newlands, Cape Town",1,Azhar Ali,4,21.0,44,0,10,7.3,31,Younis Khan,111,226.0,322,0.0,21.0,11.1,50,338
"14,15,16,17 February 2013 ",2012/13,2073,"Newlands, Cape Town",2,HM Amla,25,60.0,79,0,36,13.3,72,F du Plessis,28,83.0,121,0.0,50.0,17.2,87,326
"14,15,16,17 February 2013 ",2012/13,2073,"Newlands, Cape Town",3,Azhar Ali,65,193.0,288,0,0,0.2,1,Younis Khan,14,43.0,65,0.0,7.0,1.3,289,169
"14,15,16,17 February 2013 ",2012/13,2073,"Newlands, Cape Town",4,HM Amla,58,96.0,154,0,10,3.3,23,JH Kallis,21,30.0,29,0.0,63.0,15.3,177,182
"22,23,24,25,26 February 2013 ",2012/13,2074,"MA Chidambaram Stadium, Chepauk, Chennai",1,PJ Hughes,6,15.0,14,0,64,14.3,55,SR Watson,28,60.0,53,0.0,72.0,18.3,133,380
"22,23,24,25,26 February 2013 ",2012/13,2074,"MA Chidambaram Stadium, Chepauk, Chennai",2,CA Pujara,44,74.0,116,0,11,3.2,17,SR Tendulkar,81,159.0,257,0.0,12.0,5.2,133,572
"22,23,24,25,26 February 2013 ",2012/13,2074,"MA Chidambaram Stadium, Chepauk, Chennai",3,DA Warner,23,61.0,82,0,34,15.6,53,PJ Hughes,0,3.0,4,0.0,64.0,28.6,98,241
"22,23,24,25,26 February 2013 ",2012/13,2074,"MA Chidambaram Stadium, Chepauk, Chennai",4,CA Pujara,8,24.0,35,1,16,2.6,12,SR Tendulkar,13,10.0,10,1.0,36.0,9.2,37,50
"22,23,24 February 2013 ",2012/13,2075,"SuperSport Park, Centurion",1,HM Amla,92,128.0,201,0,13,3.1,15,F du Plessis,29,57.0,86,0.0,38.0,9.3,216,409
"22,23,24 February 2013 ",2012/13,2075,"SuperSport Park, Centurion",2,Azhar Ali,6,6.0,14,0,46,16.1,73,Younis Khan,33,86.0,149,0.0,56.0,17.6,85,156
"22,23,24 February 2013 ",2012/13,2075,"SuperSport Park, Centurion",3,Younis Khan,11,46.0,70,0,0,0.1,1,Imran Farhat,43,91.0,129,0.0,39.0,16.2,168,235
"2,3,4,5 March 2013 ",2012/13,2076,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,PJ Hughes,19,57.0,84,0,10,2.2,12,SR Watson,23,31.0,47,0.0,15.0,4.2,96,237
"2,3,4,5 March 2013 ",2012/13,2076,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,CA Pujara,204,341.0,450,0,17,7.6,37,SR Tendulkar,7,15.0,32,0.0,387.0,117.4,473,503
"2,3,4,5 March 2013 ",2012/13,2076,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,PJ Hughes,0,9.0,12,0,56,19.6,72,SR Watson,9,35.0,42,0.0,56.0,23.3,176,131
"6,7,8,9,10 March 2013 ",2012/13,2077,"University Oval, Dunedin",1,IJL Trott,45,121.0,171,0,5,2.2,10,KP Pietersen,0,1.0,1,0.0,18.0,10.2,181,167
"6,7,8,9,10 March 2013 ",2012/13,2077,"University Oval, Dunedin",2,KS Williamson,24,69.0,97,0,158,50.5,217,LRPL Taylor,31,57.0,68,0.0,249.0,73.4,340,460
"6,7,8,9,10 March 2013 ",2012/13,2077,"University Oval, Dunedin",3,ST Finn,56,203.0,286,0,231,84.5,335,IJL Trott,52,94.0,124,0.0,265.0,103.1,416,421
"8,9,10,11,12 March 2013 ",2012/13,2078,Galle International Stadium,1,KC Sangakkara,142,226.0,239,0,114,22.6,105,HDRL Thirimanne,155,256.0,426,1.0,181.0,37.6,344,570
"8,9,10,11,12 March 2013 ",2012/13,2078,Galle International Stadium,2,Mohammad Ashraful,190,417.0,499,0,23,7.5,31,Mominul Haque,55,83.0,108,0.0,65.0,23.6,530,638
"8,9,10,11,12 March 2013 ",2012/13,2078,Galle International Stadium,3,KC Sangakkara,105,172.0,216,0,17,4.6,25,KDK Vithanage,59,70.0,82,0.0,230.0,60.2,266,335
"8,9,10,11,12 March 2013 ",2012/13,2078,Galle International Stadium,4,Mohammad Ashraful,22,56.0,81,1,2,1.2,5,,,,,,,,,
"12,13,14 March 2013 ",2012/13,2079,"Kensington Oval, Bridgetown, Barbados",1,H Masakadza,17,37.0,64,0,17,6.6,27,BRM Taylor (c),26,53.0,61,0.0,59.0,20.3,135,211
"12,13,14 March 2013 ",2012/13,2079,"Kensington Oval, Bridgetown, Barbados",2,KAJ Roach,0,1.0,1,0,8,6.6,25,DM Bravo,11,32.0,49,0.0,8.0,6.7,113,307
"12,13,14 March 2013 ",2012/13,2079,"Kensington Oval, Bridgetown, Barbados",3,H Masakadza,1,10.0,16,0,25,7.1,32,RW Price,7,17.0,38,0.0,26.0,10.1,62,107
"12,13,14 March 2013 ",2012/13,2079,"Kensington Oval, Bridgetown, Barbados",4,DM Bravo,1,12.0,13,1,8,1.3,8,,,,,,,,,
"14,15,16,17,18 March 2013 ",2012/13,2080,"Basin Reserve, Wellington",1,IJL Trott,121,235.0,341,0,26,10.1,43,KP Pietersen,73,149.0,208,0.0,236.0,73.5,384,465
"14,15,16,17,18 March 2013 ",2012/13,2080,"Basin Reserve, Wellington",2,KS Williamson,42,87.0,129,0,6,6.2,28,LRPL Taylor,0,1.0,2,0.0,48.0,21.3,157,254
"14,15,16,17,18 March 2013 ",2012/13,2080,"Basin Reserve, Wellington",3,KS Williamson,55,174.0,233,1,25,10.3,47,LRPL Taylor,41,90.0,128,1.0,81.0,36.6,280,162
"14,15,16,17,18 March 2013 ",2012/13,2081,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,MJ Clarke (c),0,1.0,1,0,139,47.5,186,PJ Hughes,2,31.0,39,0.0,139.0,47.6,295,408
"14,15,16,17,18 March 2013 ",2012/13,2081,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,CA Pujara,1,13.0,13,0,289,59.5,250,SR Tendulkar,37,81.0,125,0.0,292.0,62.6,412,499
"14,15,16,17,18 March 2013 ",2012/13,2081,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,PJ Hughes,69,147.0,166,0,2,0.3,2,SPD Smith,5,19.0,23,0.0,35.0,7.5,168,223
"14,15,16,17,18 March 2013 ",2012/13,2081,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4,V Kohli,34,61.0,80,0,42,9.2,42,SR Tendulkar,21,23.0,71,0.0,70.0,18.2,82,136
"16,17,18,19 March 2013 ",2012/13,2082,"R.Premadasa Stadium, Khettarama, Colombo",1,Mohammad Ashraful,16,47.0,75,0,16,6.6,29,Mominul Haque,64,98.0,140,0.0,51.0,23.6,172,240
"16,17,18,19 March 2013 ",2012/13,2082,"R.Premadasa Stadium, Khettarama, Colombo",2,KC Sangakkara,139,289.0,438,0,7,0.3,3,HDRL Thirimanne,0,12.0,16,0.0,39.0,9.1,441,346
"16,17,18,19 March 2013 ",2012/13,2082,"R.Premadasa Stadium, Khettarama, Colombo",3,Mohammad Ashraful,4,18.0,20,0,91,35.2,132,Mominul Haque,37,93.0,116,0.0,96.0,40.3,236,265
"16,17,18,19 March 2013 ",2012/13,2082,"R.Premadasa Stadium, Khettarama, Colombo",4,KC Sangakkara,55,85.0,111,0,31,6.5,33,HDRL Thirimanne,13,37.0,55,1.0,125.0,27.6,126,160
"20,21,22 March 2013 ",2012/13,2083,"Windsor Park, Roseau, Dominica",1,H Masakadza,14,35.0,46,0,42,8.6,43,BRM Taylor (c) †,33,62.0,81,0.0,43.0,10.3,54,175
"20,21,22 March 2013 ",2012/13,2083,"Windsor Park, Roseau, Dominica",2,DM Bravo,0,4.0,7,0,35,6.4,27,MN Samuels,26,53.0,71,0.0,35.0,8.2,184,381
"20,21,22 March 2013 ",2012/13,2083,"Windsor Park, Roseau, Dominica",3,BRM Taylor (c) †,7,17.0,32,0,37,10.4,52,CR Ervine,8,35.0,44,0.0,64.0,17.6,89,141
"22,23,24,25,26 March 2013 ",2012/13,2084,"Eden Park, Auckland",1,KS Williamson,91,199.0,266,0,79,26.4,116,LRPL Taylor,19,34.0,51,0.0,260.0,94.4,458,443
"22,23,24,25,26 March 2013 ",2012/13,2084,"Eden Park, Auckland",2,IJL Trott,27,44.0,63,0,8,2.1,8,IR Bell,17,60.0,71,0.0,44.0,15.5,118,204
"22,23,24,25,26 March 2013 ",2012/13,2084,"Eden Park, Auckland",3,KS Williamson,1,11.0,14,0,4,1.3,6,LRPL Taylor,3,14.0,17,0.0,5.0,4.4,238,241
"22,23,24,25,26 March 2013 ",2012/13,2084,"Eden Park, Auckland",4,IJL Trott,37,66.0,87,0,2,1.3,5,IR Bell,75,271.0,352,0.0,60.0,23.4,189,315
"22,23,24 March 2013 ",2012/13,2085,"Arun Jaitley Stadium, Delhi",1,PJ Hughes,45,59.0,82,0,4,1.4,6,SR Watson (c),17,56.0,63,0.0,71.0,20.6,135,262
"22,23,24 March 2013 ",2012/13,2085,"Arun Jaitley Stadium, Delhi",2,V Kohli,1,8.0,11,0,108,25.1,127,SR Tendulkar,32,53.0,99,0.0,114.0,27.5,203,272
"22,23,24 March 2013 ",2012/13,2085,"Arun Jaitley Stadium, Delhi",3,EJM Cowan,24,44.0,50,0,15,4.3,16,PJ Hughes,6,23.0,23,0.0,20.0,6.1,66,164
"22,23,24 March 2013 ",2012/13,2085,"Arun Jaitley Stadium, Delhi",4,V Kohli,41,60.0,76,0,19,3.3,11,SR Tendulkar,1,5.0,8,0.0,123.0,23.6,123,158
