Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"12,13,14,15 February 2016 ",2015/16,2201,"Basin Reserve, Wellington",2,UT Khawaja,140,216.0,347,0,0,0.4,6,SPD Smith (c),71,112.0,133,0.0,5.0,2.3,353,562
"12,13,14,15 February 2016 ",2015/16,2201,"Basin Reserve, Wellington",3,KS Williamson,22,44.0,72,0,81,21.2,89,HM Nicholls,59,134.0,185,0.0,121.0,38.1,215,327
"20,21,22,23,24 February 2016 ",2015/16,2202,"Hagley Oval, Christchurch",1,KS Williamson,7,69.0,98,0,21,5.6,26,HM Nicholls,7,12.0,24,0.0,23.0,14.4,124,370
"20,21,22,23,24 February 2016 ",2015/16,2202,"Hagley Oval, Christchurch",2,UT Khawaja,24,40.0,62,0,25,7.4,29,SPD Smith (c),138,241.0,350,0.0,67.0,23.1,434,505
"20,21,22,23,24 February 2016 ",2015/16,2202,"Hagley Oval, Christchurch",3,KS Williamson,97,210.0,340,0,8,3.6,16,HM Nicholls,2,10.0,19,0.0,66.0,25.2,356,335
"20,21,22,23,24 February 2016 ",2015/16,2202,"Hagley Oval, Christchurch",4,UT Khawaja,45,66.0,107,0,49,12.1,54,SPD Smith (c),53,46.0,78,1.0,113.0,36.3,216,201
"19,20,21 May 2016 ",2016,2203,"Headingley, Leeds",1,NRD Compton,0,3.0,3,0,49,20.1,91,JE Root,0,7.0,11,0.0,49.0,20.4,325,298
"19,20,21 May 2016 ",2016,2203,"Headingley, Leeds",2,BKG Mendis,0,2.0,9,0,10,3.6,20,LD Chandimal †,15,38.0,49,0.0,12.0,4.4,24,91
"19,20,21 May 2016 ",2016,2203,"Headingley, Leeds",3,BKG Mendis,53,68.0,107,0,10,2.2,11,LD Chandimal †,8,17.0,45,0.0,35.0,10.6,118,119
"27,28,29,30 May 2016 ",2016,2204,"Riverside Ground, Chester-le-Street",1,NRD Compton,9,34.0,46,0,39,13.6,59,JE Root,80,119.0,153,0.0,64.0,26.1,191,498
"27,28,29,30 May 2016 ",2016,2204,"Riverside Ground, Chester-le-Street",2,BKG Mendis,35,62.0,89,0,10,2.4,13,LD Chandimal †,4,11.0,14,0.0,44.0,11.6,102,101
"27,28,29,30 May 2016 ",2016,2204,"Riverside Ground, Chester-le-Street",3,BKG Mendis,26,22.0,28,0,38,16.3,75,HDRL Thirimanne,13,27.0,33,0.0,79.0,21.6,230,475
"27,28,29,30 May 2016 ",2016,2204,"Riverside Ground, Chester-le-Street",4,NRD Compton,22,38.0,39,1,35,10.6,34,,,,,,,,,
"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",1,NRD Compton,1,11.0,19,0,56,19.4,85,JE Root,3,9.0,8,0.0,67.0,24.3,235,416
"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",2,BKG Mendis,25,55.0,83,0,108,30.6,135,HDRL Thirimanne,17,58.0,108,0.0,162.0,50.1,232,288
"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",3,JE Root,4,5.0,7,0,45,12.2,54,JM Vince,0,1.0,2,0.0,50.0,13.4,282,233
"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",4,BKG Mendis,17,30.0,37,1,45,15.4,68,,,,,,,,,
"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",1,Azhar Ali,7,43.0,76,0,38,12.1,55,Younis Khan,33,73.0,127,0.0,51.0,16.4,79,339
"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",2,JE Root,48,73.0,119,0,8,1.6,10,JM Vince,16,29.0,27,0.0,118.0,28.3,202,272
"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",3,Azhar Ali,23,75.0,110,0,2,2.4,12,Younis Khan,25,95.0,136,0.0,44.0,17.5,122,215
"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",4,JE Root,9,30.0,50,0,19,3.1,15,JM Vince,42,49.0,74,0.0,32.0,7.1,65,207
"21,22,23,24July 2016 ",2016,2207,"Sir Vivian Richards Stadium, North Sound, Antigua",1,CA Pujara,16,67.0,89,0,14,6.2,36,V Kohli (c),200,283.0,375,0.0,74.0,27.4,241,566
"21,22,23,24July 2016 ",2016,2207,"Sir Vivian Richards Stadium, North Sound, Antigua",2,D Bishoo,12,46.0,83,0,30,14.2,64,DM Bravo,11,33.0,39,0.0,68.0,32.1,291,243
"21,22,23,24July 2016 ",2016,2207,"Sir Vivian Richards Stadium, North Sound, Antigua",3,DM Bravo,10,43.0,56,0,2,0.5,6,MN Samuels,50,85.0,115,0.0,21.0,13.5,157,231
"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",1,JE Root,254,406.0,614,0,25,6.6,30,JM Vince,18,30.0,33,0.0,210.0,55.4,644,589
"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",2,Azhar Ali,1,13.0,25,0,27,12.6,54,Younis Khan,1,6.0,13,0.0,43.0,18.6,129,198
"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",3,JE Root,71,48.0,59,1,68,15.5,70,,,,,,,,,
"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",4,Azhar Ali,8,15.0,26,0,7,4.3,22,Younis Khan,28,63.0,88,0.0,25.0,10.2,113,234
