,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
821,"6,7,8 August 2015 ",2015,2175,"Trent Bridge, Nottingham",2,JE Root,130,176.0,246,0,34.0,13.4,391
822,"6,7,8 August 2015 ",2015,2175,"Trent Bridge, Nottingham",3,SE Marsh,2,6.0,8,0,130.0,25.6,253
823,"12,13,14,15 August 2015 ",2015,2176,Galle International Stadium,1,KC Sangakkara,5,12.0,24,0,15.0,7.1,183
824,"12,13,14,15 August 2015 ",2015,2176,Galle International Stadium,2,V Kohli (c),103,191.0,266,0,28.0,9.3,375
825,"12,13,14,15 August 2015 ",2015,2176,Galle International Stadium,3,KC Sangakkara,40,70.0,105,0,1.0,1.5,367
826,"12,13,14,15 August 2015 ",2015,2176,Galle International Stadium,4,RG Sharma,4,16.0,16,0,30.0,14.1,112
827,"20,21,22,23,24 August 2015 ",2015,2177,"P Sara Oval, Colombo",1,V Kohli (c),78,107.0,178,0,12.0,4.3,393
828,"20,21,22,23,24 August 2015 ",2015,2177,"P Sara Oval, Colombo",2,HDRL Thirimanne,62,168.0,269,0,75.0,25.5,306
829,"20,21,22,23,24 August 2015 ",2015,2177,"P Sara Oval, Colombo",3,V Kohli (c),10,19.0,33,0,143.0,44.5,325
830,"20,21,22,23,24 August 2015 ",2015,2177,"P Sara Oval, Colombo",4,AD Mathews (c),23,39.0,49,0,33.0,8.5,134
831,"20,21,22,23 August 2015 ",2015,2178,"Kennington Oval, London",1,MJ Clarke (c),15,29.0,42,0,161.0,45.1,481
832,"20,21,22,23 August 2015 ",2015,2178,"Kennington Oval, London",2,JE Root,6,39.0,59,0,46.0,12.2,149
833,"20,21,22,23 August 2015 ",2015,2178,"Kennington Oval, London",3,JE Root,11,30.0,52,0,62.0,25.3,286
834,"28,29,30,31 August, 1 September 2015 ",2015,2179,"Sinhalese Sports Club Ground, Colombo",1,V Kohli (c),18,60.0,96,0,14.0,3.4,312
835,"28,29,30,31 August, 1 September 2015 ",2015,2179,"Sinhalese Sports Club Ground, Colombo",2,LD Chandimal,23,27.0,35,0,11.0,5.2,201
836,"28,29,30,31 August, 1 September 2015 ",2015,2179,"Sinhalese Sports Club Ground, Colombo",3,V Kohli (c),21,63.0,87,0,2.0,3.2,274
837,"28,29,30,31 August, 1 September 2015 ",2015,2179,"Sinhalese Sports Club Ground, Colombo",4,LD Chandimal,18,17.0,18,0,2.0,3.2,268
838,"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",1,Younis Khan,38,57.0,72,0,173.0,54.2,523
839,"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",2,MA Wood,4,7.0,8,0,281.0,105.3,598
840,"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",3,Younis Khan,45,114.0,175,0,3.0,2.5,173
841,"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",4,BA Stokes,2,4.0,5,1,29.0,4.4,74
842,"14,15,16,17 October 2015 ",2015/16,2181,Galle International Stadium,1,LD Chandimal,151,298.0,386,0,101.0,40.6,484
843,"14,15,16,17 October 2015 ",2015/16,2181,Galle International Stadium,2,MN Samuels,11,28.0,31,0,49.0,15.1,251
844,"14,15,16,17 October 2015 ",2015/16,2181,Galle International Stadium,3,D Bishoo,10,25.0,28,0,60.0,23.3,227
845,"22,23,24,25,26 October 2015 ",2015/16,2182,"P Sara Oval, Colombo",1,LD Chandimal,25,71.0,114,0,34.0,10.5,200
846,"22,23,24,25,26 October 2015 ",2015/16,2182,"P Sara Oval, Colombo",2,DM Bravo,2,17.0,23,0,33.0,10.1,163
847,"22,23,24,25,26 October 2015 ",2015/16,2182,"P Sara Oval, Colombo",3,LD Chandimal,12,44.0,55,0,55.0,21.5,206
848,"22,23,24,25,26 October 2015 ",2015/16,2182,"P Sara Oval, Colombo",4,MN Samuels,6,27.0,28,0,80.0,25.5,171
849,"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,1,Younis Khan,56,115.0,166,0,58.0,18.4,378
850,"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,2,JE Root,88,141.0,227,0,14.0,4.1,242
851,"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,3,Younis Khan,118,211.0,354,0,16.0,7.5,354
852,"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,4,JE Root,71,171.0,218,0,19.0,9.4,312
853,"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,1,Younis Khan,31,58.0,74,0,49.0,19.5,234
854,"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,2,JE Root,4,14.0,19,0,90.0,37.2,306
855,"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,3,Younis Khan,14,39.0,53,0,105.0,39.1,355
856,"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,4,JE Root,6,29.0,32,0,34.0,13.6,156
857,"5,6,7,8,9 November 2015 ",2015/16,2185,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,SPD Smith (c),48,78.0,98,0,311.0,70.4,556
858,"5,6,7,8,9 November 2015 ",2015/16,2185,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,LRPL Taylor,0,7.0,7,0,102.0,30.1,317
859,"5,6,7,8,9 November 2015 ",2015/16,2185,"Brisbane Cricket Ground, Woolloongabba, Brisbane",3,SPD Smith (c),1,2.0,8,1,254.0,39.2,264
860,"5,6,7,8,9 November 2015 ",2015/16,2185,"Brisbane Cricket Ground, Woolloongabba, Brisbane",4,LRPL Taylor,26,47.0,69,0,98.0,41.3,295
861,"5,6,7 November 2015 ",2015/16,2186,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,V Kohli (c),1,4.0,5,0,63.0,21.4,201
862,"5,6,7 November 2015 ",2015/16,2186,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,HM Amla (c),43,97.0,147,0,9.0,8.2,184
863,"5,6,7 November 2015 ",2015/16,2186,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,V Kohli (c),29,71.0,92,0,95.0,33.1,200
864,"5,6,7 November 2015 ",2015/16,2186,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4,HM Amla (c),0,6.0,6,0,9.0,2.2,109
865,"13,14,15,16,17 November 2015 ",2015/16,2187,"W.A.C.A. Ground, Perth",1,SPD Smith (c),27,68.0,91,0,403.0,86.2,559
866,"13,14,15,16,17 November 2015 ",2015/16,2187,"W.A.C.A. Ground, Perth",2,LRPL Taylor,290,374.0,567,0,87.0,25.5,624
867,"13,14,15,16,17 November 2015 ",2015/16,2187,"W.A.C.A. Ground, Perth",3,AC Voges,119,240.0,320,0,46.0,7.2,385
868,"13,14,15,16,17 November 2015 ",2015/16,2187,"W.A.C.A. Ground, Perth",4,LRPL Taylor,36,35.0,53,1,44.0,14.5,104
869,"14,15,16,17,18 November 2015 ",2015/16,2188,"M.Chinnaswamy Stadium, Bengaluru",1,HM Amla (c),7,18.0,33,0,15.0,7.5,214
870,"25,26,27 November 2015 ",2015/16,2189,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,V Kohli (c),22,55.0,73,0,69.0,21.2,215
871,"25,26,27 November 2015 ",2015/16,2189,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,HM Amla (c),1,10.0,15,0,9.0,6.5,79
872,"25,26,27 November 2015 ",2015/16,2189,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,V Kohli (c),16,30.0,49,0,52.0,17.3,173
873,"25,26,27 November 2015 ",2015/16,2189,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",4,HM Amla (c),39,167.0,219,0,29.0,11.1,185
874,"27,28,29 November 2015 - day/night match ",2015/16,2190,Adelaide Oval,1,LRPL Taylor,21,25.0,41,0,59.0,23.4,202
875,"27,28,29 November 2015 - day/night match ",2015/16,2190,Adelaide Oval,2,AC Voges,13,42.0,46,0,34.0,13.1,224
876,"27,28,29 November 2015 - day/night match ",2015/16,2190,Adelaide Oval,3,LRPL Taylor,32,32.0,69,0,32.0,14.6,208
877,"27,28,29 November 2015 - day/night match ",2015/16,2190,Adelaide Oval,4,AC Voges,28,45.0,80,0,62.0,12.1,187
878,"3,4,5,6,7 December 2015 ",2015/16,2191,"Arun Jaitley Stadium, Delhi",1,V Kohli (c),44,62.0,74,0,62.0,28.5,334
879,"3,4,5,6,7 December 2015 ",2015/16,2191,"Arun Jaitley Stadium, Delhi",2,AB de Villiers,42,78.0,121,0,40.0,19.6,121
880,"3,4,5,6,7 December 2015 ",2015/16,2191,"Arun Jaitley Stadium, Delhi",3,CA Pujara,28,79.0,110,0,8.0,6.1,267
881,"3,4,5,6,7 December 2015 ",2015/16,2191,"Arun Jaitley Stadium, Delhi",4,AB de Villiers,43,297.0,354,0,49.0,42.4,143
882,"10,11,12,13,14 December 2015 ",2015/16,2192,"University Oval, Dunedin",1,LRPL Taylor,8,12.0,14,0,229.0,54.5,431
883,"10,11,12,13,14 December 2015 ",2015/16,2192,"University Oval, Dunedin",2,LD Chandimal †,83,209.0,283,0,29.0,12.5,294
884,"10,11,12,13,14 December 2015 ",2015/16,2192,"University Oval, Dunedin",3,LRPL Taylor,15,16.0,29,0,220.0,58.4,267
885,"10,11,12,13,14 December 2015 ",2015/16,2192,"University Oval, Dunedin",4,LD Chandimal †,58,132.0,174,0,64.0,32.3,282
886,"10,11,12 December 2015 ",2015/16,2193,"Bellerive Oval, Hobart",1,AC Voges,269,285.0,410,0,104.0,19.3,583
887,"10,11,12 December 2015 ",2015/16,2193,"Bellerive Oval, Hobart",2,MN Samuels,9,14.0,23.0,0,58.0,19.3,223
888,"10,11,12 December 2015 ",2015/16,2193,"Bellerive Oval, Hobart",3,MN Samuels,3,6.0,8.0,0,20.0,5.6,148
889,"18,19,20,21 December 2015 ",2015/16,2194,"Seddon Park, Hamilton",1,LD Chandimal †,47,56.0,82,0,44.0,15.4,292
890,"18,19,20,21 December 2015 ",2015/16,2194,"Seddon Park, Hamilton",2,LRPL Taylor,0,5.0,15,0,83.0,24.2,237
891,"18,19,20,21 December 2015 ",2015/16,2194,"Seddon Park, Hamilton",3,LD Chandimal †,4,10.0,17,0,71.0,22.6,133
892,"18,19,20,21 December 2015 ",2015/16,2194,"Seddon Park, Hamilton",4,LRPL Taylor,35,53.0,91,1,11.0,4.5,189
893,"26,27,28,29 December 2015 ",2015/16,2195,Melbourne Cricket Ground,1,SPD Smith (c),134,177.0,244,0,287.0,73.2,551
894,"26,27,28,29 December 2015 ",2015/16,2195,Melbourne Cricket Ground,2,MN Samuels,0,3.0,6,0,50.0,23.5,271
895,"26,27,28,29 December 2015 ",2015/16,2195,Melbourne Cricket Ground,3,SPD Smith (c),70,70.0,93,0,46.0,10.3,179
896,"26,27,28,29 December 2015 ",2015/16,2195,Melbourne Cricket Ground,4,MN Samuels,19,49.0,77,0,83.0,33.4,282
897,"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",1,JE Root,24,37.0,55,0,12.0,6.5,303
898,"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",2,AB de Villiers †,49,79.0,123,0,14.0,6.3,214
899,"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",3,JE Root,73,128.0,192,0,48.0,25.3,326
900,"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",4,AB de Villiers †,37,86.0,122,0,85.0,20.2,174
901,"2,3,4,5,6 January 2016 ",2015/16,2197,"Newlands, Cape Town",1,JE Root,50,79.0,113,0,129.0,43.5,629
902,"2,3,4,5,6 January 2016 ",2015/16,2197,"Newlands, Cape Town",2,AB de Villiers,88,211.0,298,0,85.0,24.5,627
903,"2,3,4,5,6 January 2016 ",2015/16,2197,"Newlands, Cape Town",3,JE Root,29,29.0,50,0,19.0,8.6,159
904,"3,4,5,6,7 January 2016 ",2015/16,2198,Sydney Cricket Ground,1,MN Samuels,4,20.0,24,0,104.0,34.4,330
905,"3,4,5,6,7 January 2016 ",2015/16,2198,Sydney Cricket Ground,2,PM Nevill †,7,21.0,21,0,154.0,31.6,176
906,"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",1,AB de Villiers (c),36,40.0,61,0,117.0,41.2,313
907,"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",2,JE Root,110,139.0,214,0,22.0,10.1,323
908,"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",3,AB de Villiers (c),0,5.0,8,0,28.0,11.6,83
909,"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",4,JE Root,4,13.0,16,0,68.0,18.4,74
910,"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",1,AB de Villiers (c),0,2.0,6,0,237.0,63.5,475
911,"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",2,JE Root,76,128.0,192,0,78.0,23.2,342
912,"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",3,AB de Villiers (c),0,2.0,2,0,49.0,21.1,248
913,"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",4,JE Root,20,56.0,70,0,8.0,6.2,101
914,"12,13,14,15 February 2016 ",2015/16,2201,"Basin Reserve, Wellington",1,HM Nicholls,8,13.0,25,0,38.0,6.2,183
915,"12,13,14,15 February 2016 ",2015/16,2201,"Basin Reserve, Wellington",2,SPD Smith (c),71,112.0,133,0,5.0,2.3,562
916,"12,13,14,15 February 2016 ",2015/16,2201,"Basin Reserve, Wellington",3,HM Nicholls,59,134.0,185,0,121.0,38.1,327
917,"20,21,22,23,24 February 2016 ",2015/16,2202,"Hagley Oval, Christchurch",1,HM Nicholls,7,12.0,24,0,23.0,14.4,370
918,"20,21,22,23,24 February 2016 ",2015/16,2202,"Hagley Oval, Christchurch",2,SPD Smith (c),138,241.0,350,0,67.0,23.1,505
919,"20,21,22,23,24 February 2016 ",2015/16,2202,"Hagley Oval, Christchurch",3,HM Nicholls,2,10.0,19,0,66.0,25.2,335
920,"20,21,22,23,24 February 2016 ",2015/16,2202,"Hagley Oval, Christchurch",4,SPD Smith (c),53,46.0,78,0,113.0,36.3,201
921,"19,20,21 May 2016 ",2016,2203,"Headingley, Leeds",1,JE Root,0,7.0,11,0,49.0,20.4,298
922,"19,20,21 May 2016 ",2016,2203,"Headingley, Leeds",2,LD Chandimal †,15,38.0,49,0,12.0,4.4,91
923,"19,20,21 May 2016 ",2016,2203,"Headingley, Leeds",3,LD Chandimal †,8,17.0,45,0,35.0,10.6,119
924,"27,28,29,30 May 2016 ",2016,2204,"Riverside Ground, Chester-le-Street",1,JE Root,80,119.0,153,0,64.0,26.1,498
925,"27,28,29,30 May 2016 ",2016,2204,"Riverside Ground, Chester-le-Street",2,LD Chandimal †,4,11.0,14,0,44.0,11.6,101
926,"27,28,29,30 May 2016 ",2016,2204,"Riverside Ground, Chester-le-Street",3,HDRL Thirimanne,13,27.0,33,0,79.0,21.6,475
927,"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",1,JE Root,3,9.0,8,0,67.0,24.3,416
928,"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",2,HDRL Thirimanne,17,58.0,108,0,162.0,50.1,288
929,"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",3,JM Vince,0,1.0,2,0,50.0,13.4,233
930,"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",1,Younis Khan,33,73.0,127,0,51.0,16.4,339
931,"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",2,JM Vince,16,29.0,27,0,118.0,28.3,272
932,"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",3,Younis Khan,25,95.0,136,0,44.0,17.5,215
933,"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",4,JM Vince,42,49.0,74,0,32.0,7.1,207
934,"21,22,23,24July 2016 ",2016,2207,"Sir Vivian Richards Stadium, North Sound, Antigua",1,V Kohli (c),200,283.0,375,0,74.0,27.4,566
935,"21,22,23,24July 2016 ",2016,2207,"Sir Vivian Richards Stadium, North Sound, Antigua",2,DM Bravo,11,33.0,39,0,68.0,32.1,243
936,"21,22,23,24July 2016 ",2016,2207,"Sir Vivian Richards Stadium, North Sound, Antigua",3,MN Samuels,50,85.0,115,0,21.0,13.5,231
937,"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",1,JM Vince,18,30.0,33,0,210.0,55.4,589
938,"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",2,Younis Khan,1,6.0,13,0,43.0,18.6,198
939,"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",4,Younis Khan,28,63.0,88,0,25.0,10.2,234
940,"26,27,28,29,30 July 2016 ",2016,2209,Pallekele International Cricket Stadium,1,LD Chandimal †,15,54.0,82,0,15.0,5.3,117
941,"26,27,28,29,30 July 2016 ",2016,2209,Pallekele International Cricket Stadium,2,SPD Smith (c),30,53.0,65,0,7.0,3.6,203
942,"26,27,28,29,30 July 2016 ",2016,2209,Pallekele International Cricket Stadium,3,BKG Mendis,176,254.0,319,0,6.0,2.5,353
943,"26,27,28,29,30 July 2016 ",2016,2209,Pallekele International Cricket Stadium,4,SPD Smith (c),55,125.0,151,0,33.0,8.1,161
944,"28,29,30,31 July 2016 ",2016,2210,"Queens Sports Club, Bulawayo",1,CR Ervine,13,42.0,68,0,35.0,16.4,164
945,"28,29,30,31 July 2016 ",2016,2210,"Queens Sports Club, Bulawayo",2,LRPL Taylor,173,299.0,365,0,235.0,72.2,576
946,"28,29,30,31 July 2016 ",2016,2210,"Queens Sports Club, Bulawayo",3,CR Ervine,50,60.0,86,0,12.0,1.4,295
947,"30, 31 July 01,02,03 August 2016 ",2016,2211,"Sabina Park, Kingston, Jamaica",1,MN Samuels,37,88.0,118,0,4.0,2.5,196
948,"30, 31 July 01,02,03 August 2016 ",2016,2211,"Sabina Park, Kingston, Jamaica",2,V Kohli (c),44,90.0,144,0,208.0,72.2,500
949,"30, 31 July 01,02,03 August 2016 ",2016,2211,"Sabina Park, Kingston, Jamaica",3,MN Samuels,0,5.0,5,0,41.0,12.6,388
950,"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",1,JM Vince,39,65.0,115,0,48.0,11.5,297
951,"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",2,Younis Khan,31,90.0,149,0,181.0,62.2,400
952,"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",3,JM Vince,42,123.0,200,0,126.0,39.3,445
953,"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",4,Younis Khan,4,17.0,27,0,79.0,30.3,201
954,"4,5,6 August 2016 ",2016,2213,Galle International Stadium,1,BKG Mendis,86,137.0,177,0,9.0,4.4,281
955,"4,5,6 August 2016 ",2016,2213,Galle International Stadium,2,SPD Smith (c),5,10.0,9,0,54.0,13.3,106
956,"4,5,6 August 2016 ",2016,2213,Galle International Stadium,3,BKG Mendis,7,14.0,16,0,9.0,2.2,237
957,"4,5,6 August 2016 ",2016,2213,Galle International Stadium,4,UT Khawaja,0,1.0,1,0,10.0,3.3,183
958,"6,7,8,9,10 August 2016 ",2016,2214,"Queens Sports Club, Bulawayo",1,LRPL Taylor,124,173.0,240,0,329.0,89.5,582
959,"6,7,8,9,10 August 2016 ",2016,2214,"Queens Sports Club, Bulawayo",2,CR Ervine,146,272.0,404,0,83.0,45.3,362
960,"6,7,8,9,10 August 2016 ",2016,2214,"Queens Sports Club, Bulawayo",3,LRPL Taylor,67,78.0,125,1,26.0,6.1,166
961,"6,7,8,9,10 August 2016 ",2016,2214,"Queens Sports Club, Bulawayo",4,DT Tiripano,22,75.0,96,0,58.0,24.6,132
962,"9,10,11,12,13 August 2016 ",2016,2215,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,AM Rahane,35,133.0,202,0,19.0,5.3,353
963,"9,10,11,12,13 August 2016 ",2016,2215,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2,MN Samuels,48,109.0,124,0,129.0,55.4,225
964,"9,10,11,12,13 August 2016 ",2016,2215,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",3,AM Rahane,78,116.0,137,0,58.0,11.6,217
965,"9,10,11,12,13 August 2016 ",2016,2215,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",4,MN Samuels,12,27.0,45,0,4.0,4.2,108
966,"11,12,13,14 August 2016 ",2016,2216,"Kennington Oval, London",1,JM Vince,1,3.0,13,0,69.0,16.5,328
967,"11,12,13,14 August 2016 ",2016,2216,"Kennington Oval, London",2,Asad Shafiq,109,179.0,245,0,52.0,17.3,542
968,"11,12,13,14 August 2016 ",2016,2216,"Kennington Oval, London",3,JM Vince,0,3.0,8,0,49.0,17.6,253
969,"13,14,15,16,17 August 2016 ",2016,2217,"Sinhalese Sports Club Ground, Colombo",1,BKG Mendis,1,12.0,26,0,21.0,11.6,355
970,"13,14,15,16,17 August 2016 ",2016,2217,"Sinhalese Sports Club Ground, Colombo",2,AC Voges,22,63.0,85,0,267.0,82.5,379
971,"13,14,15,16,17 August 2016 ",2016,2217,"Sinhalese Sports Club Ground, Colombo",3,MDKJ Perera †,24,25.0,28,0,44.0,13.3,347
972,"13,14,15,16,17 August 2016 ",2016,2217,"Sinhalese Sports Club Ground, Colombo",4,AC Voges,1,2.0,6,0,100.0,26.1,160
973,"18,19,20,21,22 August 2016 ",2016,2218,"Queen's Park Oval, Port of Spain, Trinidad",1,MN Samuels,4,15.0,32,0,48.0,14.4,62
974,"19,20,21,22,23 August 2016 ",2016,2219,"Kingsmead, Durban",1,JP Duminy,14,34.0,65,0,41.0,16.6,263
975,"19,20,21,22,23 August 2016 ",2016,2219,"Kingsmead, Durban",2,LRPL Taylor,2,10.0,15,1,12.0,8.6,15
976,"27,28,29,30 August 2016 ",2016,2220,"SuperSport Park, Centurion",1,JP Duminy,88,158.0,232,0,151.0,45.4,481
977,"27,28,29,30 August 2016 ",2016,2220,"SuperSport Park, Centurion",2,LRPL Taylor,1,12.0,27,0,13.0,4.3,214
978,"27,28,29,30 August 2016 ",2016,2220,"SuperSport Park, Centurion",3,JP Duminy,0,3.0,2,0,32.0,4.2,132
979,"27,28,29,30 August 2016 ",2016,2220,"SuperSport Park, Centurion",4,LRPL Taylor,0,5.0,16,0,3.0,0.6,195
980,"22,23,24,25,26 September 2016 ",2016/17,2221,"Green Park, Kanpur",1,V Kohli (c),9,10.0,12,0,154.0,48.4,318
981,"22,23,24,25,26 September 2016 ",2016/17,2221,"Green Park, Kanpur",2,LRPL Taylor,0,2.0,3,0,159.0,51.5,262
982,"22,23,24,25,26 September 2016 ",2016/17,2221,"Green Park, Kanpur",3,V Kohli (c),18,40.0,45,0,185.0,56.2,377
983,"22,23,24,25,26 September 2016 ",2016/17,2221,"Green Park, Kanpur",4,LRPL Taylor,17,36.0,71,0,3.0,3.5,236
984,"30 September, 1,2,3 October 2016 ",2016/17,2222,"Eden Gardens, Kolkata",1,V Kohli (c),9,28.0,42,0,28.0,11.2,316
985,"30 September, 1,2,3 October 2016 ",2016/17,2222,"Eden Gardens, Kolkata",2,LRPL Taylor (c),36,80.0,106,0,18.0,2.4,204
986,"30 September, 1,2,3 October 2016 ",2016/17,2222,"Eden Gardens, Kolkata",3,V Kohli (c),45,65.0,82,0,24.0,7.5,263
987,"30 September, 1,2,3 October 2016 ",2016/17,2222,"Eden Gardens, Kolkata",4,LRPL Taylor (c),4,28.0,25,0,104.0,35.5,197
988,"8,9,10,11 October 2016 ",2016/17,2223,"Holkar Cricket Stadium, Indore",1,V Kohli (c),211,366.0,536,0,60.0,19.5,557
989,"8,9,10,11 October 2016 ",2016/17,2223,"Holkar Cricket Stadium, Indore",2,LRPL Taylor,0,4.0,9,0,134.0,42.6,299
990,"8,9,10,11 October 2016 ",2016/17,2223,"Holkar Cricket Stadium, Indore",3,V Kohli (c),17,28.0,36,1,110.0,29.6,216
991,"8,9,10,11 October 2016 ",2016/17,2223,"Holkar Cricket Stadium, Indore",4,LRPL Taylor,32,25.0,25,0,42.0,10.6,153
992,"13,14,15,16,17 October 2016 - day/night match ...
Name: 1, dtype: object",2016/17,2224,Dubai International Cricket Stadium,1,Babar Azam,69,105.0,146,0,352.0,108.3,579
993,"13,14,15,16,17 October 2016 - day/night match ...
Name: 1, dtype: object",2016/17,2224,Dubai International Cricket Stadium,2,MN Samuels,76,139.0,188,0,69.0,23.6,357
994,"13,14,15,16,17 October 2016 - day/night match ...
Name: 1, dtype: object",2016/17,2224,Dubai International Cricket Stadium,3,Babar Azam,21,38.0,47,0,20.0,5.4,123
995,"13,14,15,16,17 October 2016 - day/night match ...
Name: 1, dtype: object",2016/17,2224,Dubai International Cricket Stadium,4,MN Samuels,4,11.0,19,0,87.0,25.4,289
996,"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,GS Ballance,1,7.0,8,0,18.0,10.2,293
997,"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,Mahmudullah,38,66.0,122,0,29.0,13.5,248
998,"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,GS Ballance,9,25.0,37,0,27.0,9.2,240
999,"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,Mahmudullah,17,36.0,40,0,81.0,20.1,263
1000,"21,22,23,24,25 October 2016 ",2016/17,2226,"Sheikh Zayed Stadium, Abu Dhabi",1,Younis Khan,127,205.0,298,0,42.0,13.2,452
1001,"21,22,23,24,25 October 2016 ",2016/17,2226,"Sheikh Zayed Stadium, Abu Dhabi",2,MN Samuels,30,61.0,61,0,65.0,28.1,224
1002,"21,22,23,24,25 October 2016 ",2016/17,2226,"Sheikh Zayed Stadium, Abu Dhabi",3,Younis Khan,29,54.0,64,1,164.0,50.3,227
1003,"21,22,23,24,25 October 2016 ",2016/17,2226,"Sheikh Zayed Stadium, Abu Dhabi",4,MN Samuels,23,61.0,86,0,63.0,18.6,322
1004,"28,29,30 October 2016 ",2016/17,2227,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Mahmudullah,13,26.0,40,0,171.0,41.1,220
1005,"28,29,30 October 2016 ",2016/17,2227,"Shere Bangla National Stadium, Mirpur, Dhaka",2,GS Ballance,9,18.0,19,0,24.0,4.1,244
1006,"28,29,30 October 2016 ",2016/17,2227,"Shere Bangla National Stadium, Mirpur, Dhaka",3,Mahmudullah,47,57.0,82,0,66.0,13.1,296
1007,"28,29,30 October 2016 ",2016/17,2227,"Shere Bangla National Stadium, Mirpur, Dhaka",4,GS Ballance,5,14.0,26,0,105.0,24.1,164
1008,"29,30,31 October 1,2 November 2016 ",2016/17,2228,Harare Sports Club,1,BKG Mendis,34,50.0,65,0,198.0,61.3,537
1009,"29,30,31 October 1,2 November 2016 ",2016/17,2228,Harare Sports Club,2,CR Ervine,12,36.0,57,0,92.0,27.5,373
1010,"29,30,31 October 1,2 November 2016 ",2016/17,2228,Harare Sports Club,3,BKG Mendis,19,29.0,37,0,72.0,22.2,247
1011,"29,30,31 October 1,2 November 2016 ",2016/17,2228,Harare Sports Club,4,CR Ervine,0,8.0,10,0,68.0,29.1,186
